K,Media do MSE,Desvio Padrao do MSE
1.0,1.4474871484887013,0.0035232677055866235
2.0,0.004896940250091972,0.0007666017704532976
3.0,0.005308171297968187,0.0013336767476013276
4.0,0.005502954665020701,0.001162128597647708
5.0,0.00443299130132305,0.00166984354587729
6.0,0.0023183365267914723,0.0008711829068599523
7.0,0.003037242650963054,0.002925777012430598
8.0,0.001532193513531678,0.001164269773414111
9.0,0.0005611496104771938,0.0003224702118224728
10.0,0.0005358588220055794,0.0004945093641826127
