K,Media do RMSE,Desvio Padrao do RMSE
1.0,1.4533465471315765,0.005081857352600296
2.0,0.0008919056362589867,0.00013567086043212128
3.0,0.0015675701096512923,0.00047563041516897596
4.0,0.001335584198792661,0.00035961389609793273
5.0,0.0005770301118216585,0.00013224779350776806
6.0,0.0008002083120149539,0.00012700154530297502
7.0,0.0008498869051925329,0.0003147846559944474
8.0,0.0007477672722806226,0.0005878035701195636
9.0,0.0008148820192927756,0.00030920837586347554
10.0,0.0007369168496317786,0.0007951482879443457
